timesp,src_ip,dest_ip,proto,src_port,dest_port,packet_length,labeltam
2025-04-28T20:59:51.627999+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,30343.0,53.0,,normal
2025-04-28T20:59:51.628005+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,6506.0,53.0,,normal
2025-04-28T20:59:51.628013+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2404:6800:4007:082c:0000:0000:0000:2002,UDP,56338.0,443.0,,normal
2025-04-28T20:59:51.628021+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,32027.0,53.0,,normal
2025-04-28T20:59:51.628027+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2404:6800:4007:0806:0000:0000:0000:2002,UDP,62003.0,443.0,,normal
2025-04-28T20:59:51.628035+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,42046.0,53.0,,normal
2025-04-28T20:59:51.628041+0530,192.168.1.12,192.168.1.1,UDP,10026.0,53.0,,normal
2025-04-28T20:59:51.628047+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,5830.0,53.0,,normal
2025-04-28T20:59:51.628054+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,42175.0,53.0,,normal
2025-04-28T20:59:51.628061+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,10379.0,53.0,,normal
2025-04-28T20:59:51.628068+0530,192.168.1.12,192.168.1.1,UDP,21428.0,53.0,,normal
2025-04-28T20:59:51.628075+0530,192.168.1.12,35.201.125.192,UDP,65154.0,443.0,,normal
2025-04-28T20:59:51.628082+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,22235.0,53.0,,normal
2025-04-28T20:59:51.628089+0530,192.168.1.12,192.168.1.1,UDP,30499.0,53.0,,normal
2025-04-28T20:59:51.628095+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,11907.0,53.0,,normal
2025-04-28T20:59:51.628103+0530,192.168.1.12,192.168.1.1,UDP,60718.0,53.0,,normal
2025-04-28T20:59:51.628109+0530,192.168.1.12,192.168.1.1,UDP,48840.0,53.0,,normal
2025-04-28T20:59:51.628117+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,14090.0,53.0,,normal
2025-04-28T20:59:51.628124+0530,192.168.1.12,192.168.1.1,UDP,3562.0,53.0,,normal
2025-04-28T20:59:51.628130+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,27187.0,53.0,,normal
2025-04-28T20:59:51.628137+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,31490.0,53.0,,normal
2025-04-28T20:59:51.628144+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,46634.0,53.0,,normal
2025-04-28T20:59:51.628150+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,3176.0,53.0,,normal
2025-04-28T20:59:51.628157+0530,192.168.1.12,192.168.1.1,UDP,47214.0,53.0,,normal
2025-04-28T20:59:51.628163+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2404:6800:4009:080b:0000:0000:0000:2001,UDP,57968.0,443.0,,normal
2025-04-28T20:59:51.628171+0530,192.168.1.12,142.250.195.66,UDP,54875.0,443.0,,normal
2025-04-28T20:59:51.628177+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,41925.0,53.0,,normal
2025-04-28T20:59:51.628184+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,50562.0,53.0,,normal
2025-04-28T20:59:51.628191+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,16119.0,53.0,,normal
2025-04-28T20:59:51.628198+0530,2a03:2880:f285:00c8:face:b00c:0000:7260,2401:4900:1c26:50d3:6516:abab:079d:7ce7,TCP,443.0,60937.0,,normal
2025-04-28T20:59:51.628206+0530,192.168.1.12,192.168.1.1,UDP,21962.0,53.0,,normal
2025-04-28T20:59:51.628212+0530,192.168.1.12,192.168.1.1,UDP,30647.0,53.0,,normal
2025-04-28T20:59:51.628219+0530,192.168.1.12,142.250.71.98,UDP,63576.0,443.0,,normal
2025-04-28T20:59:51.628225+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2404:6800:4007:080e:0000:0000:0000:200e,UDP,56447.0,443.0,,normal
2025-04-28T20:59:51.628232+0530,192.168.1.12,192.168.1.1,UDP,7527.0,53.0,,normal
2025-04-28T20:59:51.628239+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,10387.0,53.0,,normal
2025-04-28T20:59:51.628246+0530,192.168.1.12,142.250.70.66,UDP,56259.0,443.0,,normal
2025-04-28T20:59:51.628252+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,38735.0,53.0,,normal
2025-04-28T20:59:51.628259+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2606:4700:90d2:98e3:bd0d:041f:0895:a7f2,UDP,58175.0,443.0,,normal
2025-04-28T20:59:51.628266+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,8226.0,53.0,,normal
2025-04-28T20:59:51.628273+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,42446.0,53.0,,normal
