timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_length,flags,label
1745843551.185825,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,66,A,0
1745843551.1864371,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,66,A,0
1745843551.1871848,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,99,PA,0
1745843551.187858,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,66,A,0
1745843554.306113,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,97,PA,0
1745843554.306815,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,66,FA,0
1745843554.307416,192.168.1.12,17.137.162.3,TCP,61534.0,443.0,66,A,0
1745843554.323626,192.168.1.12,17.137.162.3,TCP,61534.0,443.0,97,PA,0
1745843554.324378,192.168.1.12,17.137.162.3,TCP,61534.0,443.0,66,FA,0
1745843554.566816,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,54,R,0
1745843554.569618,17.137.162.3,192.168.1.12,TCP,443.0,61534.0,54,R,0
1745843555.448819,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,97,PA,0
1745843555.449211,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,66,FA,0
1745843555.4495811,192.168.1.12,17.137.162.3,TCP,61535.0,443.0,66,A,0
1745843555.449978,192.168.1.12,17.137.162.3,TCP,61535.0,443.0,97,PA,0
1745843555.450315,192.168.1.12,17.137.162.3,TCP,61535.0,443.0,66,FA,0
1745843555.69226,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,54,R,0
1745843555.695435,17.137.162.3,192.168.1.12,TCP,443.0,61535.0,54,R,0
1745843556.429366,192.168.1.12,142.250.82.215,UDP,54888.0,3478.0,162,,0
1745843556.449771,142.250.82.215,192.168.1.12,UDP,3478.0,54888.0,106,,0
1745843560.371187,192.168.1.5,224.0.0.251,UDP,5353.0,5353.0,152,,0
1745843565.5846558,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,97,PA,0
1745843565.5853682,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,66,FA,0
1745843565.585919,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,66,A,0
1745843565.586317,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,97,PA,0
1745843565.586626,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,66,FA,0
1745843565.836127,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,54,R,0
1745843565.836842,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,54,R,0
1745843565.837452,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,54,R,0
1745843567.740499,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,97,PA,0
1745843567.7412128,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,66,FA,0
1745843567.741888,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,66,A,0
1745843567.742652,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,97,PA,0
1745843567.743169,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,66,FA,0
1745843567.98645,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,54,R,0
1745843567.987185,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,54,R,0
1745843567.987801,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,54,R,0
1745843570.138996,0.0.0.0,255.255.255.255,UDP,68.0,67.0,336,,0
1745843570.7030048,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,184,,0
1745843570.955143,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,184,,0
1745843571.2051442,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,184,,0
1745843571.457974,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,447,,0
1745843572.457289,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,447,,0
1745843574.4586968,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,447,,0
1745843574.987316,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,82,,0
1745843575.152156,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,82,,0
1745843575.291589,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,415,,0
1745843575.542964,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,415,,0
1745843575.793574,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,415,,0
1745843576.3474472,192.168.1.5,224.0.0.251,UDP,5353.0,5353.0,82,,0
1745843576.355768,192.168.1.5,224.0.0.251,UDP,5353.0,5353.0,136,,0
1745843576.357538,192.168.1.5,224.0.0.251,UDP,5353.0,5353.0,152,,0
1745843576.387156,192.168.1.5,224.0.0.251,2,,,46,,0
1745843577.356289,192.168.1.5,224.0.0.251,UDP,5353.0,5353.0,152,,0
1745843577.360662,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,417,,0
1745843577.929495,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,417,,0
1745843578.397782,192.168.1.5,224.0.0.251,UDP,5353.0,5353.0,152,,0
1745843578.402551,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,417,,0
1745843578.4966888,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,447,,0
1745843578.9299572,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,417,,0
1745843579.15429,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,82,,0
1745843579.156317,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,417,,0
1745843579.435101,192.168.1.5,224.0.0.251,UDP,5353.0,5353.0,152,,0
1745843579.4894,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,417,,0
1745843581.6615412,192.168.1.12,142.250.82.215,UDP,54888.0,3478.0,162,,0
